DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count
2014-05-01T00:00:00,2006-01-01T00:00:00,Arrival,Domestic,Charter,2457
2014-05-01T00:00:00,2006-01-01T00:00:00,Arrival,Domestic,Commuter,139728
2014-05-01T00:00:00,2006-01-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1538812
2014-05-01T00:00:00,2006-01-01T00:00:00,Arrival,International,Charter,332
2014-05-01T00:00:00,2006-01-01T00:00:00,Arrival,International,Commuter,1280
2014-05-01T00:00:00,2006-01-01T00:00:00,Arrival,International,Scheduled Carriers,742810
2014-05-01T00:00:00,2006-01-01T00:00:00,Departure,Domestic,Charter,3450
2014-05-01T00:00:00,2006-01-01T00:00:00,Departure,Domestic,Commuter,139021
2014-05-01T00:00:00,2006-01-01T00:00:00,Departure,Domestic,Scheduled Carriers,1492469
2014-05-01T00:00:00,2006-01-01T00:00:00,Departure,International,Charter,558
2014-05-01T00:00:00,2006-01-01T00:00:00,Departure,International,Commuter,1125
2014-05-01T00:00:00,2006-01-01T00:00:00,Departure,International,Scheduled Carriers,694117
2014-05-01T00:00:00,2006-02-01T00:00:00,Arrival,Domestic,Charter,549
2014-05-01T00:00:00,2006-02-01T00:00:00,Arrival,Domestic,Commuter,141096
2014-05-01T00:00:00,2006-02-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1385488
2014-05-01T00:00:00,2006-02-01T00:00:00,Arrival,International,Charter,516
2014-05-01T00:00:00,2006-02-01T00:00:00,Arrival,International,Commuter,884
2014-05-01T00:00:00,2006-02-01T00:00:00,Arrival,International,Scheduled Carriers,602784
2014-05-01T00:00:00,2006-02-01T00:00:00,Departure,Domestic,Charter,349
2014-05-01T00:00:00,2006-02-01T00:00:00,Departure,Domestic,Commuter,136608
2014-05-01T00:00:00,2006-02-01T00:00:00,Departure,Domestic,Scheduled Carriers,1381873
2014-05-01T00:00:00,2006-02-01T00:00:00,Departure,International,Charter,471
2014-05-01T00:00:00,2006-02-01T00:00:00,Departure,International,Commuter,1018
2014-05-01T00:00:00,2006-02-01T00:00:00,Departure,International,Scheduled Carriers,598519
2014-05-01T00:00:00,2006-03-01T00:00:00,Arrival,Domestic,Charter,1599
2014-05-01T00:00:00,2006-03-01T00:00:00,Arrival,Domestic,Commuter,168803
2014-05-01T00:00:00,2006-03-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1671699
2014-05-01T00:00:00,2006-03-01T00:00:00,Arrival,International,Charter,445
2014-05-01T00:00:00,2006-03-01T00:00:00,Arrival,International,Commuter,946
2014-05-01T00:00:00,2006-03-01T00:00:00,Arrival,International,Scheduled Carriers,697527
2014-05-01T00:00:00,2006-03-01T00:00:00,Departure,Domestic,Charter,1893
2014-05-01T00:00:00,2006-03-01T00:00:00,Departure,Domestic,Commuter,164379
2014-05-01T00:00:00,2006-03-01T00:00:00,Departure,Domestic,Scheduled Carriers,1702684
2014-05-01T00:00:00,2006-03-01T00:00:00,Departure,International,Charter,454
2014-05-01T00:00:00,2006-03-01T00:00:00,Departure,International,Commuter,1129
2014-05-01T00:00:00,2006-03-01T00:00:00,Departure,International,Scheduled Carriers,678736
2014-05-01T00:00:00,2006-04-01T00:00:00,Arrival,Domestic,Charter,2092
2014-05-01T00:00:00,2006-04-01T00:00:00,Arrival,Domestic,Commuter,160532
2014-05-01T00:00:00,2006-04-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1664977
2014-05-01T00:00:00,2006-04-01T00:00:00,Arrival,International,Charter,120
2014-05-01T00:00:00,2006-04-01T00:00:00,Arrival,International,Commuter,1316
2014-05-01T00:00:00,2006-04-01T00:00:00,Arrival,International,Scheduled Carriers,731130
2014-05-01T00:00:00,2006-04-01T00:00:00,Departure,Domestic,Charter,1200
2014-05-01T00:00:00,2006-04-01T00:00:00,Departure,Domestic,Commuter,154475
2014-05-01T00:00:00,2006-04-01T00:00:00,Departure,Domestic,Scheduled Carriers,1699764
2014-05-01T00:00:00,2006-04-01T00:00:00,Departure,International,Commuter,1265
2014-05-01T00:00:00,2006-04-01T00:00:00,Departure,International,Scheduled Carriers,671003
2014-05-01T00:00:00,2006-05-01T00:00:00,Arrival,Domestic,Charter,1231
2014-05-01T00:00:00,2006-05-01T00:00:00,Arrival,Domestic,Commuter,169438
2014-05-01T00:00:00,2006-05-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1713427
2014-05-01T00:00:00,2006-05-01T00:00:00,Arrival,International,Charter,386
2014-05-01T00:00:00,2006-05-01T00:00:00,Arrival,International,Commuter,1477
2014-05-01T00:00:00,2006-05-01T00:00:00,Arrival,International,Scheduled Carriers,708450
2014-05-01T00:00:00,2006-05-01T00:00:00,Departure,Domestic,Charter,960
2014-05-01T00:00:00,2006-05-01T00:00:00,Departure,Domestic,Commuter,161230
2014-05-01T00:00:00,2006-05-01T00:00:00,Departure,Domestic,Scheduled Carriers,1696855
2014-05-01T00:00:00,2006-05-01T00:00:00,Departure,International,Charter,45
2014-05-01T00:00:00,2006-05-01T00:00:00,Departure,International,Commuter,1634
2014-05-01T00:00:00,2006-05-01T00:00:00,Departure,International,Scheduled Carriers,722275
2014-05-01T00:00:00,2006-06-01T00:00:00,Arrival,Domestic,Charter,411
2014-05-01T00:00:00,2006-06-01T00:00:00,Arrival,Domestic,Commuter,172403
2014-05-01T00:00:00,2006-06-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1808012
2014-05-01T00:00:00,2006-06-01T00:00:00,Arrival,International,Charter,102
2014-05-01T00:00:00,2006-06-01T00:00:00,Arrival,International,Commuter,1436
2014-05-01T00:00:00,2006-06-01T00:00:00,Arrival,International,Scheduled Carriers,725426
2014-05-01T00:00:00,2006-06-01T00:00:00,Departure,Domestic,Charter,600
2014-05-01T00:00:00,2006-06-01T00:00:00,Departure,Domestic,Commuter,165153
2014-05-01T00:00:00,2006-06-01T00:00:00,Departure,Domestic,Scheduled Carriers,1848219
2014-05-01T00:00:00,2006-06-01T00:00:00,Departure,International,Commuter,1689
2014-05-01T00:00:00,2006-06-01T00:00:00,Departure,International,Scheduled Carriers,786572
2014-05-01T00:00:00,2006-07-01T00:00:00,Arrival,Domestic,Charter,295
2014-05-01T00:00:00,2006-07-01T00:00:00,Arrival,Domestic,Commuter,171685
2014-05-01T00:00:00,2006-07-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1951129
2014-05-01T00:00:00,2006-07-01T00:00:00,Arrival,International,Charter,280
2014-05-01T00:00:00,2006-07-01T00:00:00,Arrival,International,Commuter,1603
2014-05-01T00:00:00,2006-07-01T00:00:00,Arrival,International,Scheduled Carriers,866526
2014-05-01T00:00:00,2006-07-01T00:00:00,Departure,Domestic,Charter,290
2014-05-01T00:00:00,2006-07-01T00:00:00,Departure,Domestic,Commuter,169418
2014-05-01T00:00:00,2006-07-01T00:00:00,Departure,Domestic,Scheduled Carriers,1943764
2014-05-01T00:00:00,2006-07-01T00:00:00,Departure,International,Commuter,1589
2014-05-01T00:00:00,2006-07-01T00:00:00,Departure,International,Scheduled Carriers,813144
2014-05-01T00:00:00,2006-08-01T00:00:00,Arrival,Domestic,Charter,124
2014-05-01T00:00:00,2006-08-01T00:00:00,Arrival,Domestic,Commuter,162122
2014-05-01T00:00:00,2006-08-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1879821
2014-05-01T00:00:00,2006-08-01T00:00:00,Arrival,International,Charter,127
2014-05-01T00:00:00,2006-08-01T00:00:00,Arrival,International,Commuter,1001
2014-05-01T00:00:00,2006-08-01T00:00:00,Arrival,International,Scheduled Carriers,840270
2014-05-01T00:00:00,2006-08-01T00:00:00,Departure,Domestic,Charter,664
2014-05-01T00:00:00,2006-08-01T00:00:00,Departure,Domestic,Commuter,163622
2014-05-01T00:00:00,2006-08-01T00:00:00,Departure,Domestic,Scheduled Carriers,1922139
2014-05-01T00:00:00,2006-08-01T00:00:00,Departure,International,Commuter,1423
2014-05-01T00:00:00,2006-08-01T00:00:00,Departure,International,Scheduled Carriers,773930
2014-05-01T00:00:00,2006-09-01T00:00:00,Arrival,Domestic,Charter,1720
2014-05-01T00:00:00,2006-09-01T00:00:00,Arrival,Domestic,Commuter,162552
2014-05-01T00:00:00,2006-09-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1543233
2014-05-01T00:00:00,2006-09-01T00:00:00,Arrival,International,Charter,35
2014-05-01T00:00:00,2006-09-01T00:00:00,Arrival,International,Commuter,1061
